,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD,type,color
78,2020-01-08 05-AM,ETHUSD,145.07,145.1,144.72,144.94,84.76,12287.05,Fall,0
79,2020-01-08 04-AM,ETHUSD,145.32,145.38,144.92,145.07,126.37,18340.14,Rise,2
80,2020-01-08 03-AM,ETHUSD,144.63,145.32,144.0,145.32,70.57,10200.85,Rise,2
81,2020-01-08 02-AM,ETHUSD,145.81,146.75,144.63,144.63,181.07,26438.7,Fall,0
82,2020-01-08 01-AM,ETHUSD,147.72,147.86,145.31,145.81,167.47,24564.52,Rise,2
83,2020-01-08 12-AM,ETHUSD,143.18,147.78,143.12,147.72,262.95,38072.96,Rise,2
84,2020-01-07 11-PM,ETHUSD,142.12,143.83,142.12,143.18,182.17,26141.52,Fall,0
85,2020-01-07 10-PM,ETHUSD,142.12,142.84,141.52,142.12,253.34,35962.11,Fall,0
86,2020-01-07 09-PM,ETHUSD,144.8,145.1,142.12,142.12,186.2,26905.36,Stag,1
87,2020-01-07 08-PM,ETHUSD,143.39,144.92,143.22,144.8,194.17,27953.75,Rise,2
88,2020-01-07 07-PM,ETHUSD,142.75,143.89,142.73,143.39,331.4,47524.86,Fall,0
89,2020-01-07 06-PM,ETHUSD,142.62,143.51,142.56,142.75,402.93,57642.0,Fall,0
90,2020-01-07 05-PM,ETHUSD,141.51,142.86,141.33,142.62,206.24,29348.33,Fall,0
91,2020-01-07 04-PM,ETHUSD,139.57,141.77,139.12,141.51,70.59,9899.3,Fall,0
92,2020-01-07 03-PM,ETHUSD,140.99,140.99,139.0,139.57,144.16,20186.38,Fall,0
93,2020-01-07 02-PM,ETHUSD,140.87,141.18,140.43,140.99,87.75,12368.59,Rise,2
94,2020-01-07 01-PM,ETHUSD,141.23,141.23,140.3,140.87,127.26,17884.3,Fall,0
95,2020-01-07 12-PM,ETHUSD,142.8,142.8,140.8,141.23,112.24,15923.12,Rise,2
96,2020-01-07 11-AM,ETHUSD,142.94,143.75,142.8,142.8,140.19,20092.94,Rise,2
97,2020-01-07 10-AM,ETHUSD,142.65,143.15,142.64,142.94,81.39,11634.83,Rise,2
98,2020-01-07 09-AM,ETHUSD,143.13,143.36,142.59,142.65,60.39,8630.01,Fall,0
99,2020-01-07 08-AM,ETHUSD,142.73,143.3,142.73,143.13,59.35,8490.68,Rise,2
100,2020-01-07 07-AM,ETHUSD,142.94,143.05,142.66,142.73,63.81,9113.23,Fall,0
101,2020-01-07 06-AM,ETHUSD,143.12,143.15,142.76,142.94,232.57,33271.88,Rise,2
102,2020-01-07 05-AM,ETHUSD,142.45,143.14,142.32,143.12,64.9,9269.68,Rise,2
103,2020-01-07 04-AM,ETHUSD,143.67,143.67,142.25,142.45,361.53,51773.27,Fall,0
104,2020-01-07 03-AM,ETHUSD,143.99,143.99,143.67,143.67,7.5,1077.91,Rise,2
105,2020-01-07 02-AM,ETHUSD,143.9,144.74,143.9,143.99,67.26,9705.19,Rise,2
106,2020-01-07 01-AM,ETHUSD,143.54,143.9,143.54,143.9,24.79,3563.58,Fall,0
107,2020-01-07 12-AM,ETHUSD,144.34,144.37,143.48,143.54,17.83,2561.0,Fall,0
108,2020-01-06 11-PM,ETHUSD,143.1,144.44,142.98,144.17,121.59,17508.61,Rise,2
109,2020-01-06 10-PM,ETHUSD,141.79,143.33,141.58,143.1,375.36,53566.13,Fall,0
110,2020-01-06 09-PM,ETHUSD,141.9,142.48,141.63,141.79,268.16,38068.99,Fall,0
111,2020-01-06 08-PM,ETHUSD,141.4,142.0,141.29,141.9,86.33,12241.63,Rise,2
112,2020-01-06 07-PM,ETHUSD,140.85,141.4,140.85,141.4,146.41,20659.28,Fall,0
113,2020-01-06 06-PM,ETHUSD,141.48,141.48,140.85,140.85,25.72,3631.57,Fall,0
114,2020-01-06 05-PM,ETHUSD,140.63,141.48,140.62,141.48,43.07,6071.81,Rise,2
115,2020-01-06 04-PM,ETHUSD,140.68,141.01,140.12,140.63,18.41,2590.67,Fall,0
116,2020-01-06 03-PM,ETHUSD,141.17,141.27,140.45,140.68,56.02,7874.71,Rise,2
117,2020-01-06 02-PM,ETHUSD,139.26,141.19,139.26,141.17,37.14,5227.81,Rise,2
118,2020-01-06 01-PM,ETHUSD,142.11,142.8,139.26,139.26,325.08,46233.49,Fall,0
119,2020-01-06 12-PM,ETHUSD,140.96,142.35,140.96,142.11,70.4,9979.94,Rise,2
120,2020-01-06 11-AM,ETHUSD,141.78,142.56,140.3,140.96,220.56,31114.56,Fall,0
121,2020-01-06 10-AM,ETHUSD,140.28,142.0,140.28,141.78,52.26,7385.41,Rise,2
122,2020-01-06 09-AM,ETHUSD,140.28,140.28,139.52,140.28,50.21,7025.2,Fall,0
123,2020-01-06 08-AM,ETHUSD,138.79,140.28,138.46,140.28,228.7,31880.35,Stag,1
124,2020-01-06 07-AM,ETHUSD,138.91,139.0,138.69,138.79,66.29,9208.26,Fall,0
125,2020-01-06 06-AM,ETHUSD,138.9,139.19,138.9,138.91,103.47,14373.73,Rise,2
126,2020-01-06 05-AM,ETHUSD,139.39,139.39,138.88,138.9,2.509,349.27,Fall,0
127,2020-01-06 04-AM,ETHUSD,139.35,139.54,139.24,139.39,13.41,1869.35,Rise,2
128,2020-01-06 03-AM,ETHUSD,138.98,139.42,138.35,139.35,87.52,12149.95,Fall,0
129,2020-01-06 02-AM,ETHUSD,136.96,139.26,136.96,138.98,124.43,17254.05,Fall,0
130,2020-01-06 01-AM,ETHUSD,134.97,136.96,134.97,136.96,25.24,3453.42,Fall,0
131,2020-01-06 12-AM,ETHUSD,134.85,135.32,134.85,134.97,17.39,2352.74,Fall,0
132,2020-01-05 11-PM,ETHUSD,134.77,134.85,134.48,134.85,6.596,888.59,Fall,0
133,2020-01-05 10-PM,ETHUSD,135.25,135.8,134.25,134.77,3.91,526.62,Fall,0
134,2020-01-05 09-PM,ETHUSD,137.6,137.68,135.0,135.25,65.98,8992.98,Rise,2
135,2020-01-05 08-PM,ETHUSD,137.6,137.6,137.6,137.6,0.0,0.0,Rise,2
136,2020-01-05 07-PM,ETHUSD,137.25,137.62,137.25,137.6,9.985,1372.54,Stag,1
137,2020-01-05 06-PM,ETHUSD,138.12,138.12,137.13,137.25,2.8369999999999997,389.64,Fall,0
138,2020-01-05 05-PM,ETHUSD,137.03,138.12,137.03,138.12,16.79,2317.55,Rise,2
139,2020-01-05 04-PM,ETHUSD,137.07,137.91,137.03,137.03,22.42,3082.21,Fall,0
140,2020-01-05 03-PM,ETHUSD,135.63,137.89,135.57,137.07,53.93,7368.17,Rise,2
141,2020-01-05 02-PM,ETHUSD,135.43,135.71,135.33,135.63,12.81,1735.84,Fall,0
142,2020-01-05 01-PM,ETHUSD,135.87,135.87,135.43,135.43,6.403,867.84,Fall,0
143,2020-01-05 12-PM,ETHUSD,135.05,135.87,135.05,135.87,62.33,8446.97,Rise,2
144,2020-01-05 11-AM,ETHUSD,134.87,135.09,134.87,135.05,27.6,3727.64,Fall,0
145,2020-01-05 10-AM,ETHUSD,135.29,135.45,134.82,134.87,11.64,1573.52,Fall,0
146,2020-01-05 09-AM,ETHUSD,135.51,135.51,135.24,135.29,1.546,209.17,Rise,2
147,2020-01-05 08-AM,ETHUSD,136.16,136.16,135.3,135.51,33.73,4573.31,Rise,2
148,2020-01-05 07-AM,ETHUSD,136.16,136.22,136.09,136.16,32.1,4371.47,Rise,2
149,2020-01-05 06-AM,ETHUSD,136.0,136.25,135.94,136.16,106.48,14486.1,Stag,1
150,2020-01-05 05-AM,ETHUSD,136.2,136.2,135.76,136.0,30.81,4189.63,Fall,0
151,2020-01-05 04-AM,ETHUSD,135.9,136.78,135.71,136.2,50.81,6918.6,Rise,2
152,2020-01-05 03-AM,ETHUSD,135.4,135.9,135.4,135.9,6.19,840.29,Fall,0
153,2020-01-05 02-AM,ETHUSD,135.66,135.85,135.04,135.4,2.949,400.29,Fall,0
154,2020-01-05 01-AM,ETHUSD,134.98,135.97,134.9,135.66,44.13,5983.98,Rise,2
155,2020-01-05 12-AM,ETHUSD,134.41,134.98,134.41,134.98,3.3689999999999998,454.31,Fall,0
156,2020-01-04 11-PM,ETHUSD,134.01,134.36,134.0,134.12,10.89,1459.73,Fall,0
157,2020-01-04 10-PM,ETHUSD,134.01,134.01,133.86,134.01,8.564,1146.49,Fall,0
158,2020-01-04 09-PM,ETHUSD,133.84,134.26,133.79,134.01,14.58,1953.05,Stag,1
159,2020-01-04 08-PM,ETHUSD,133.81,133.94,133.68,133.84,11.24,1503.43,Fall,0
160,2020-01-04 07-PM,ETHUSD,133.26,133.87,133.04,133.81,46.78,6251.86,Fall,0
161,2020-01-04 06-PM,ETHUSD,134.48,135.59,133.26,133.26,61.3,8241.04,Fall,0
162,2020-01-04 05-PM,ETHUSD,133.15,134.48,133.15,134.48,14.39,1929.12,Rise,2
163,2020-01-04 04-PM,ETHUSD,133.13,133.25,133.13,133.15,10.64,1416.89,Fall,0
164,2020-01-04 03-PM,ETHUSD,132.9,133.33,132.87,133.13,6.276,836.39,Fall,0
165,2020-01-04 02-PM,ETHUSD,132.73,133.1,132.49,132.9,118.42,15710.31,Fall,0
166,2020-01-04 01-PM,ETHUSD,133.04,133.18,132.32,132.73,121.12,16103.33,Fall,0
167,2020-01-04 12-PM,ETHUSD,133.37,133.37,133.01,133.04,41.39,5509.97,Rise,2
168,2020-01-04 11-AM,ETHUSD,133.46,133.46,133.0,133.37,3.846,511.53,Rise,2
169,2020-01-04 10-AM,ETHUSD,133.89,134.0,133.46,133.46,3.387,452.56,Rise,2
170,2020-01-04 09-AM,ETHUSD,133.73,133.97,133.39,133.89,4.86,649.03,Rise,2
171,2020-01-04 08-AM,ETHUSD,133.46,133.76,133.46,133.73,2.529,338.23,Fall,0
172,2020-01-04 07-AM,ETHUSD,133.87,134.11,133.46,133.46,16.07,2154.91,Fall,0
173,2020-01-04 06-AM,ETHUSD,133.75,134.11,133.75,133.87,28.15,3770.85,Rise,2
174,2020-01-04 05-AM,ETHUSD,133.59,133.76,133.54,133.75,9.797,1310.13,Fall,0
175,2020-01-04 04-AM,ETHUSD,133.16,133.59,133.16,133.59,6.0,800.27,Fall,0
176,2020-01-04 03-AM,ETHUSD,133.16,133.25,133.16,133.16,8.207,1093.42,Fall,0
177,2020-01-04 02-AM,ETHUSD,132.91,133.16,132.89,133.16,18.28,2432.93,Stag,1
178,2020-01-04 01-AM,ETHUSD,133.77,133.77,132.87,132.91,2.708,360.08,Fall,0
179,2020-01-04 12-AM,ETHUSD,134.19,134.68,133.5,133.77,38.63,5178.81,Rise,2
180,2020-01-03 11-PM,ETHUSD,133.15,134.83,132.99,134.19,97.91,13100.98,Rise,2
181,2020-01-03 10-PM,ETHUSD,132.5,133.15,132.35,133.15,83.58,11087.54,Fall,0
182,2020-01-03 09-PM,ETHUSD,133.49,133.81,132.5,132.5,29.64,3941.2,Fall,0
183,2020-01-03 08-PM,ETHUSD,133.35,133.93,133.21,133.49,18.27,2438.05,Rise,2
184,2020-01-03 07-PM,ETHUSD,133.28,133.35,132.46,133.35,17.57,2337.21,Fall,0
185,2020-01-03 06-PM,ETHUSD,134.2,134.2,133.28,133.28,45.51,6073.54,Fall,0
186,2020-01-03 05-PM,ETHUSD,133.3,134.5,132.79,134.2,119.16,15900.83,Rise,2
187,2020-01-03 04-PM,ETHUSD,132.26,133.3,131.84,133.3,182.94,24247.44,Fall,0
188,2020-01-03 03-PM,ETHUSD,131.55,132.26,131.37,132.26,98.65,12981.58,Fall,0
189,2020-01-03 02-PM,ETHUSD,133.07,133.59,131.17,131.55,113.85,14985.17,Fall,0
190,2020-01-03 01-PM,ETHUSD,131.81,133.07,131.81,133.07,98.18,13002.63,Rise,2
191,2020-01-03 12-PM,ETHUSD,132.27,132.78,131.81,131.81,109.64,14522.71,Fall,0
192,2020-01-03 11-AM,ETHUSD,131.73,132.27,131.69,132.27,62.22,8208.34,Rise,2
193,2020-01-03 10-AM,ETHUSD,131.56,132.41,131.56,131.73,42.46,5608.33,Fall,0
194,2020-01-03 09-AM,ETHUSD,131.17,132.26,131.17,131.56,28.5,3751.39,Fall,0
195,2020-01-03 08-AM,ETHUSD,128.68,132.58,128.68,131.17,143.43,18708.81,Fall,0
196,2020-01-03 07-AM,ETHUSD,128.96,129.14,128.68,128.68,10.53,1357.9,Fall,0
197,2020-01-03 06-AM,ETHUSD,128.85,128.96,128.85,128.96,1.5919999999999999,205.09,Rise,2
198,2020-01-03 05-AM,ETHUSD,129.0,129.67,128.61,128.85,1.911,246.28,Fall,0
199,2020-01-03 04-AM,ETHUSD,126.37,129.64,126.37,129.0,199.33,25438.24,Rise,2
200,2020-01-03 03-AM,ETHUSD,126.39,126.39,126.26,126.37,15.32,1934.65,Fall,0
201,2020-01-03 02-AM,ETHUSD,125.61,126.5,125.61,126.39,16.77,2116.95,Rise,2
202,2020-01-03 01-AM,ETHUSD,126.64,126.77,125.61,125.61,59.8,7569.4,Fall,0
203,2020-01-03 12-AM,ETHUSD,126.88,126.88,126.64,126.64,4.274,541.32,Rise,2
204,2020-01-02 11-PM,ETHUSD,127.2,127.2,126.77,126.85,3.343,423.98,Rise,2
205,2020-01-02 10-PM,ETHUSD,127.44,127.44,127.07,127.2,16.09,2046.65,Rise,2
206,2020-01-02 09-PM,ETHUSD,126.99,127.44,126.94,127.44,5.772,734.26,Rise,2
207,2020-01-02 08-PM,ETHUSD,127.28,127.28,126.63,126.99,3.4930000000000003,443.02,Fall,0
208,2020-01-02 07-PM,ETHUSD,127.11,127.28,126.91,127.28,15.59,1981.34,Rise,2
209,2020-01-02 06-PM,ETHUSD,127.11,127.21,126.81,127.11,54.52,6924.65,Fall,0
210,2020-01-02 05-PM,ETHUSD,127.34,127.34,126.24,127.11,85.29,10810.62,Stag,1
211,2020-01-02 04-PM,ETHUSD,129.28,129.48,126.91,127.34,283.35,36250.97,Rise,2
212,2020-01-02 03-PM,ETHUSD,129.39,129.59,129.13,129.28,17.78,2302.88,Rise,2
213,2020-01-02 02-PM,ETHUSD,129.14,129.54,129.12,129.39,5.228,677.01,Rise,2
214,2020-01-02 01-PM,ETHUSD,129.44,129.63,129.14,129.14,6.489,838.28,Fall,0
215,2020-01-02 12-PM,ETHUSD,129.19,129.44,129.19,129.44,12.26,1584.68,Rise,2
216,2020-01-02 11-AM,ETHUSD,129.41,129.41,129.19,129.19,10.04,1297.79,Fall,0
217,2020-01-02 10-AM,ETHUSD,129.35,129.71,129.35,129.41,10.75,1393.65,Rise,2
218,2020-01-02 09-AM,ETHUSD,129.65,129.65,129.18,129.35,11.3,1461.59,Fall,0
219,2020-01-02 08-AM,ETHUSD,128.73,129.65,128.64,129.65,0.4677,60.44,Rise,2
220,2020-01-02 07-AM,ETHUSD,129.03,129.09,128.49,128.73,23.36,3009.45,Fall,0
221,2020-01-02 06-AM,ETHUSD,128.89,129.52,128.89,129.03,12.23,1579.4,Rise,2
222,2020-01-02 05-AM,ETHUSD,129.15,129.21,128.89,128.89,17.57,2267.22,Fall,0
223,2020-01-02 04-AM,ETHUSD,128.6,129.18,128.41,129.15,26.15,3370.21,Rise,2
224,2020-01-02 03-AM,ETHUSD,129.17,129.17,128.56,128.6,13.45,1729.78,Fall,0
225,2020-01-02 02-AM,ETHUSD,129.84,129.84,128.41,129.17,178.47,23007.24,Rise,2
226,2020-01-02 01-AM,ETHUSD,130.0,130.09,129.78,129.84,27.43,3562.98,Rise,2
227,2020-01-02 12-AM,ETHUSD,130.22,130.22,130.0,130.0,2.675,347.92,Rise,2
228,2020-01-01 11-PM,ETHUSD,130.01,130.22,129.64,130.22,30.18,3924.93,Rise,2
229,2020-01-01 10-PM,ETHUSD,131.65,131.65,129.76,130.01,88.23,11522.49,Fall,0
230,2020-01-01 09-PM,ETHUSD,131.81,131.93,131.58,131.65,11.55,1521.07,Rise,2
231,2020-01-01 08-PM,ETHUSD,131.58,131.81,131.58,131.81,0.2315,30.52,Rise,2
232,2020-01-01 07-PM,ETHUSD,131.58,131.58,131.58,131.58,9.0,1184.22,Fall,0
233,2020-01-01 06-PM,ETHUSD,132.37,132.37,131.58,131.58,10.94,1445.76,Stag,1
234,2020-01-01 05-PM,ETHUSD,132.28,132.37,132.25,132.37,4.247,561.97,Rise,2
235,2020-01-01 04-PM,ETHUSD,131.54,132.28,131.54,132.28,32.35,4270.79,Fall,0
236,2020-01-01 03-PM,ETHUSD,131.91,131.91,131.51,131.54,31.53,4149.83,Fall,0
237,2020-01-01 02-PM,ETHUSD,131.3,131.91,131.3,131.91,5.0,659.53,Rise,2
238,2020-01-01 01-PM,ETHUSD,130.89,131.47,130.89,131.3,31.88,4181.58,Fall,0
239,2020-01-01 12-PM,ETHUSD,130.49,130.89,130.49,130.89,130.03,17002.21,Fall,0
240,2020-01-01 11-AM,ETHUSD,130.52,131.68,130.4,130.49,57.32,7503.5,Fall,0
241,2020-01-01 10-AM,ETHUSD,130.0,130.52,129.87,130.52,10.0,1301.53,Rise,2
242,2020-01-01 09-AM,ETHUSD,130.0,130.0,130.0,130.0,0.0,0.0,Fall,0
243,2020-01-01 08-AM,ETHUSD,130.0,130.0,130.0,130.0,0.0,0.0,Stag,1
244,2020-01-01 07-AM,ETHUSD,130.14,130.3,129.89,130.0,6.727,874.08,Stag,1
245,2020-01-01 06-AM,ETHUSD,129.89,130.23,129.81,130.14,8.182,1064.75,Rise,2
246,2020-01-01 05-AM,ETHUSD,129.92,129.93,129.71,129.89,17.43,2262.67,Fall,0
247,2020-01-01 04-AM,ETHUSD,129.83,129.92,129.7,129.92,14.37,1864.03,Rise,2
248,2020-01-01 03-AM,ETHUSD,130.4,130.46,129.69,129.83,22.33,2899.52,Fall,0
249,2020-01-01 02-AM,ETHUSD,129.73,130.4,129.73,130.4,21.12,2745.13,Rise,2
250,2020-01-01 01-AM,ETHUSD,128.5,130.07,128.5,129.73,30.33,3923.46,Fall,0
251,2020-01-01 12-AM,ETHUSD,128.51,128.51,128.5,128.5,35.93,4616.98,Fall,0
252,2019-12-31 11-PM,ETHUSD,128.51,129.07,128.51,128.85,18.54,2391.09,Rise,2
253,2019-12-31 10-PM,ETHUSD,128.5,128.51,128.16,128.51,9.841000000000001,1263.49,Fall,0
254,2019-12-31 09-PM,ETHUSD,128.1,128.65,128.1,128.5,38.18,4902.9,Fall,0
255,2019-12-31 08-PM,ETHUSD,128.43,128.43,128.05,128.1,115.66,14840.88,Fall,0
256,2019-12-31 07-PM,ETHUSD,128.93,128.93,128.16,128.43,33.19,4263.64,Rise,2
257,2019-12-31 06-PM,ETHUSD,128.74,129.69,128.68,128.93,32.09,4143.21,Rise,2
258,2019-12-31 05-PM,ETHUSD,129.82,129.95,128.5,128.74,53.58,6916.95,Fall,0
259,2019-12-31 04-PM,ETHUSD,129.54,130.18,129.53,129.82,69.41,9011.26,Rise,2
260,2019-12-31 03-PM,ETHUSD,131.67,131.67,129.13,129.54,621.47,80580.56,Fall,0
261,2019-12-31 02-PM,ETHUSD,131.21,133.61,131.04,131.67,120.13,15815.2,Rise,2
262,2019-12-31 01-PM,ETHUSD,131.34,131.65,131.18,131.21,16.58,2177.87,Fall,0
263,2019-12-31 12-PM,ETHUSD,131.71,131.71,130.88,131.34,9.703,1273.44,Rise,2
264,2019-12-31 11-AM,ETHUSD,131.55,131.77,131.47,131.71,11.3,1488.8,Rise,2
265,2019-12-31 10-AM,ETHUSD,131.46,131.69,131.21,131.55,17.11,2252.45,Fall,0
266,2019-12-31 09-AM,ETHUSD,131.27,131.76,131.24,131.46,4.434,582.39,Fall,0
267,2019-12-31 08-AM,ETHUSD,131.85,131.85,131.23,131.27,93.53,12283.9,Fall,0
